,Unnamed: 0,cust_id,activated_date,last_payment_date,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure,fraud,Year_ad,Month,activated_datec,last_payment_datec,cash/credit_limit,Year_lpd
39,40,C10040,2019-10-07,2020-05-27,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,0,2019.0,10.0,2019-10,2020-05-27,0.8231577169333334,2020.0
40,41,C10041,2019-10-07,2020-11-01,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.33344500000004,0.166667,12,0,2019.0,10.0,2019-10,2020-11-01,1.7405910744444444,2020.0
41,42,C10043,2019-10-07,2020-04-27,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.11111099999999999,12,0,2019.0,10.0,2019-10,2020-04-27,0.7294732023333332,2020.0
42,43,C10044,2019-10-07,2020-08-25,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,0,2019.0,10.0,2019-10,2020-08-25,0.0,2020.0
43,44,C10045,2019-10-07,2020-06-20,1360.742377,1.0,0.0,0.0,0.0,1481.5870929999999,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.35413700000004,0.0,12,0,2019.0,10.0,2019-10,2020-06-20,0.9877247286666666,2020.0
44,45,C10046,2019-10-07,2020-08-29,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.3415009999999,1318.71492,0.0,12,0,2019.0,10.0,2019-10,2020-08-29,0.0,2020.0
45,46,C10047,2019-10-07,2020-08-27,2242.311686,1.0,437.0,97.0,340.0,184.64869199999998,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-08-27,0.07693695499999999,2020.0
46,47,C10048,2019-10-07,2020-07-28,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,0,2019.0,10.0,2019-10,2020-07-28,0.5962703247058824,2020.0
47,48,C10049,2019-10-07,2020-07-07,3910.1112369999996,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-07-07,0.4716364764285714,2020.0
48,49,C10050,2019-10-07,2020-06-16,229.867179,1.0,2390.6,1402.93,987.67,,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,0,2019.0,10.0,2019-10,2020-06-16,,2020.0
49,50,C10051,2019-10-07,2020-06-07,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,0,2019.0,10.0,2019-10,2020-06-07,0.17377428975,2020.0
50,51,C10052,2019-10-07,2020-07-15,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297345999999,1012.4159609999999,0.0,8,0,2019.0,10.0,2019-10,2020-07-15,0.7108873845,2020.0
51,52,C10053,2019-10-07,2020-10-05,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.4466009999999,0.0,12,0,2019.0,10.0,2019-10,2020-10-05,0.0,2020.0
52,53,C10054,2019-10-07,2020-05-15,1565.6810990000001,1.0,0.0,0.0,0.0,321.35913500000004,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,0,2019.0,10.0,2019-10,2020-05-15,0.09181689571428572,2020.0
53,54,C10055,2019-10-07,2020-06-02,464.674156,0.8888889999999999,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.11111099999999999,1,11,3000.0,3110.0527420000003,132.446091,0.2,9,0,2019.0,10.0,2019-10,2020-06-02,0.6604218343333333,2020.0
54,55,C10056,2019-10-07,2020-07-30,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.01676299999997,,0.0,12,0,2019.0,10.0,2019-10,2020-07-30,0.0,2020.0
55,56,C10057,2019-10-07,2020-09-23,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-09-23,0.0,2020.0
56,57,C10058,2019-10-07,2020-06-07,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-06-07,0.16711718575,2020.0
57,58,C10059,2019-10-07,2020-09-13,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,0,2019.0,10.0,2019-10,2020-09-13,0.0,2020.0
58,59,C10060,2019-10-07,2020-10-16,3971.1387649999997,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.9387280000001,1600.212243,0.0,11,0,2019.0,10.0,2019-10,2020-10-16,0.05614387925,2020.0
59,60,C10061,2019-10-07,2020-05-29,5493.90406,1.0,229.0,0.0,229.0,970.5913320000001,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.0261699999999,0.0,12,0,2019.0,10.0,2019-10,2020-05-29,0.16176522200000001,2020.0
60,61,C10062,2019-10-07,2020-10-26,1879.1140329999998,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.1058360000001,0.0,12,0,2019.0,10.0,2019-10,2020-10-26,0.0,2020.0
61,62,C10063,2019-10-07,2020-08-15,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,0,2019.0,10.0,2019-10,2020-08-15,0.0,2020.0
62,63,C10064,2019-10-07,2020-05-17,809.582978,0.909091,0.0,0.0,0.0,3819.6724659999995,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148647999999,241.645387,0.090909,11,0,2019.0,10.0,2019-10,2020-05-17,0.9204030038554216,2020.0
63,64,C10065,2019-10-07,2020-05-25,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-05-25,0.0,2020.0
64,65,C10067,2019-10-07,2020-05-12,1923.886805,1.0,1887.64,0.0,1887.64,1605.9493710000002,1.0,0.0,1.0,0.083333,4,61,1850.0,3688.0459979999996,3266.996777,0.083333,12,0,2019.0,10.0,2019-10,2020-05-12,0.8680807410810811,2020.0
65,66,C10068,2019-10-07,2020-10-07,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.4516480000001,897.905444,0.0,12,0,2019.0,10.0,2019-10,2020-10-07,0.0,2020.0
66,67,C10069,2019-10-08,2020-06-24,809.847455,0.875,0.0,0.0,0.0,908.4236080000001,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,179.41249299999998,0.0,8,0,2019.0,10.0,2019-10,2020-06-24,0.6056157386666667,2020.0
67,68,C10070,2019-10-08,2020-10-05,1576.3050289999999,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12,0,2019.0,10.0,2019-10,2020-10-05,0.1531634188,2020.0
68,69,C10071,2019-10-08,2020-07-27,3990.5235789999997,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0,8,6000.0,6876.836205,1001.6073660000001,0.083333,12,0,2019.0,10.0,2019-10,2020-07-27,0.0,2020.0
69,70,C10072,2019-10-08,2020-06-29,1699.4354859999999,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1700.0,1623.816348,923.505868,0.0,12,0,2019.0,10.0,2019-10,2020-06-29,0.0,2020.0
70,71,C10073,2019-10-08,2020-08-11,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,6250.0,1288.214909,2180.881868,0.0,12,0,2019.0,10.0,2019-10,2020-08-11,0.10006390176,2020.0
71,72,C10074,2019-10-08,2020-11-05,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.485760000003,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.694460000002,1107.0308029999999,0.454545,12,1,2019.0,10.0,2019-10,2020-11-05,3.899497965714286,2020.0
72,73,C10075,2019-10-08,2020-09-27,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,7000.0,910.457985,140.983193,0.25,8,0,2019.0,10.0,2019-10,2020-09-27,0.21062141442857144,2020.0
73,74,C10077,2019-10-08,2020-08-14,1808.9724190000002,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.017418,622.757696,0.0,10,0,2019.0,10.0,2019-10,2020-08-14,0.0,2020.0
74,75,C10078,2019-10-08,2020-05-23,532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0,7,6000.0,1305.1773039999998,175.510344,0.0,11,0,2019.0,10.0,2019-10,2020-05-23,0.0,2020.0
75,76,C10079,2019-10-08,2020-09-11,5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,6000.0,1990.044998,2161.428274,0.0,12,0,2019.0,10.0,2019-10,2020-09-11,0.0,2020.0
76,77,C10080,2019-10-08,2020-08-20,1727.6384489999998,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.920544,623.6569929999999,0.0,12,0,2019.0,10.0,2019-10,2020-08-20,0.0,2020.0
77,78,C10081,2019-10-08,2020-08-30,578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0,8,1500.0,1438.910569,190.186542,0.0,12,0,2019.0,10.0,2019-10,2020-08-30,0.0,2020.0
78,79,C10082,2019-10-08,2020-06-14,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,1200.0,29.278671000000003,8242.687678,0.0,12,0,2019.0,10.0,2019-10,2020-06-14,0.031938167499999996,2020.0
79,80,C10083,2019-10-08,2020-09-29,6593.820643999999,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,2503.4023399999996,0.0,12,0,2019.0,10.0,2019-10,2020-09-29,0.6602763685714286,2020.0
80,81,C10084,2019-10-08,2020-06-16,17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0,13,5000.0,357.802082,121.523416,0.181818,12,0,2019.0,10.0,2019-10,2020-06-16,0.0,2020.0
81,82,C10085,2019-10-08,2020-05-03,81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5,0,9500.0,116.569033,164.692136,0.0,12,0,2019.0,10.0,2019-10,2020-05-03,0.31424210589473683,2020.0
82,83,C10086,2019-10-08,2020-09-11,3.78631,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0,5,12000.0,210.053432,99.533735,0.44444399999999995,12,0,2019.0,10.0,2019-10,2020-09-11,0.0,2020.0
83,84,C10087,2019-10-08,2020-08-29,42.46443,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0,12,1200.0,725.6061940000001,140.80945400000002,1.0,12,0,2019.0,10.0,2019-10,2020-08-29,0.0,2020.0
84,85,C10088,2019-10-08,2020-08-10,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,9000.0,4921.066897,594.7566860000001,0.0,12,0,2019.0,10.0,2019-10,2020-08-10,0.03264942133333333,2020.0
85,86,C10089,2019-10-08,2020-05-08,134.917202,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0,22,16500.0,1275.2294359999999,171.35718899999998,1.0,12,0,2019.0,10.0,2019-10,2020-05-08,0.0,2020.0
86,87,C10090,2019-10-08,2020-09-22,7069.9503859999995,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.8738969999995,1876.262988,0.0,12,0,2019.0,10.0,2019-10,2020-09-22,0.5114549132727273,2020.0
87,88,C10092,2019-10-08,2020-09-14,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934000001,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,0,2019.0,10.0,2019-10,2020-09-14,0.3889799210370371,2020.0
88,89,C10093,2019-10-08,2020-06-03,4037.3056579999998,1.0,45.0,45.0,0.0,104.23806400000001,0.083333,0.083333,0.0,0.083333,1,1,4500.0,1073.844885,968.941265,0.0,12,0,2019.0,10.0,2019-10,2020-06-03,0.023164014222222223,2020.0
89,90,C10094,2019-10-08,2020-07-21,6110.265264,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,0,2019.0,10.0,2019-10,2020-07-21,,2020.0
90,91,C10095,2019-10-08,2020-08-07,9381.255094,1.0,5100.07,1147.83,3952.24,370.73719700000004,1.0,0.25,0.916667,0.083333,1,46,9000.0,6409.4963450000005,9827.045323,0.0,12,0,2019.0,10.0,2019-10,2020-08-07,0.041193021888888896,2020.0
91,92,C10096,2019-10-08,2020-10-24,1977.0070899999998,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000.0,3056.424974,910.707525,0.090909,11,0,2019.0,10.0,2019-10,2020-10-24,1.0839798067500002,2020.0
92,93,C10097,2019-10-08,2020-07-17,1321.4760800000001,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,1800.0,440.84043899999995,312.560636,0.0,12,0,2019.0,10.0,2019-10,2020-07-17,0.2753655188888889,2020.0
93,94,C10098,2019-10-08,2020-10-09,1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2400.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-10-09,0.0,2020.0
94,95,C10099,2019-10-08,2020-10-09,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-10-09,0.0,2020.0
95,96,C10100,2019-10-08,2020-10-09,1139.782882,1.0,0.0,0.0,0.0,120.61291200000001,0.0,0.0,0.0,0.083333,1,0,1200.0,151.823651,2906.110765,0.0,12,0,2019.0,10.0,2019-10,2020-10-09,0.10051076,2020.0
96,97,C10101,2019-10-08,2020-07-29,1619.955708,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,6000.0,417.128532,389.138517,0.0,12,0,2019.0,10.0,2019-10,2020-07-29,0.0,2020.0
97,98,C10102,2019-10-08,2020-08-29,3505.671311,1.0,0.0,0.0,0.0,1713.9843050000002,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-08-29,0.42849607625,2020.0
98,99,C10103,2019-10-08,2020-06-04,4.708041000000001,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0,3,7000.0,217.820198,121.781205,1.0,12,0,2019.0,10.0,2019-10,2020-06-04,0.0,2020.0
99,100,C10104,2019-10-08,2020-06-06,0.0,0.0,0.0,0.0,0.0,89.84900400000001,0.0,0.0,0.0,0.14285699999999998,1,0,3000.0,138.02142800000001,,0.0,7,0,2019.0,10.0,2019-10,2020-06-06,0.029949668000000002,2020.0
100,101,C10105,2019-10-08,2020-09-22,4.875885,0.666667,20.0,20.0,0.0,0.0,0.11111099999999999,0.11111099999999999,0.0,0.0,0,1,1500.0,26.487919,60.913577000000004,0.0,9,0,2019.0,10.0,2019-10,2020-09-22,0.0,2020.0
101,102,C10106,2019-10-08,2020-08-24,23.394410999999998,0.272727,1346.28,0.0,1346.28,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,712.1491530000001,54.79166,0.0,12,0,2019.0,10.0,2019-10,2020-08-24,0.0,2020.0
102,103,C10107,2019-10-08,2020-09-10,3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0,75,5700.0,9172.788365999999,2103.796148,0.083333,12,0,2019.0,10.0,2019-10,2020-09-10,0.0,2020.0
103,104,C10108,2019-10-08,2020-11-08,0.62424,0.090909,389.96,0.0,389.96,0.0,1.0,0.0,1.0,0.0,0,31,4500.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-11-08,0.0,2020.0
104,105,C10109,2019-10-08,2020-09-28,862.0723800000001,1.0,0.0,0.0,0.0,920.3098050000001,0.0,0.0,0.0,0.083333,1,0,4000.0,2236.8902550000003,214.828158,0.083333,12,0,2019.0,10.0,2019-10,2020-09-28,0.23007745125000004,2020.0
